"""","(常住地)15歳以上当地での就業者総数","(常住地)15歳以上当地での就業者総数_自市町村自宅","(常住地)15歳以上当地での就業者総数_自市町村自宅外","(常住地)15歳以上当地での就業者総数_県内他市町村","(常住地)15歳以上当地での就業者総数_県 外","(常住地)15歳以上当地通学者総数","(常住地)15歳以上当地通学者総数_自市町村","(常住地)15歳以上当地通学者総数_県内他市町村","(常住地)15歳以上当地通学者総数_県 外","≪参考≫昼間人口"
"総  数","434823.0","77581.0","243204.0","92012.0","13413.0","42909.0","25345.0","12884.0","3568.0","982982.0"
"","","","","","","","","","",""
"　和歌山市","175813.0","15212.0","122340.0","26254.0","6915.0","19310.0","12519.0","4031.0","2215.0","386753.0"
"　海 南 市","22885.0","4676.0","10045.0","7565.0","400.0","1236.0","630.0","554.0","7.0","52118.0"
"　橋 本 市","20897.0","3857.0","12127.0","2923.0","1607.0","2629.0","1595.0","559.0","402.0","55808.0"
"　有 田 市","12762.0","3355.0","5952.0","3106.0","119.0","912.0","446.0","421.0","7.0","28783.0"
"　御 坊 市","13814.0","2807.0","5603.0","5222.0","77.0","2371.0","1262.0","1074.0","25.0","29505.0"
"　田 辺 市","37517.0","7928.0","22512.0","6474.0","217.0","3315.0","2356.0","930.0","4.0","80196.0"
"　新 宮 市","15457.0","2126.0","8826.0","2169.0","2104.0","1966.0","1190.0","606.0","144.0","34519.0"
"　紀の川市","25998.0","7773.0","9920.0","7164.0","745.0","3266.0","1433.0","1091.0","653.0","59781.0"
"　岩 出 市","14551.0","1763.0","6581.0","5013.0","361.0","1628.0","830.0","631.0","31.0","42449.0"
"","","","","","","","","","",""
"  紀美野町","4010.0","1140.0","1592.0","1248.0","17.0","387.0","116.0","260.0","8.0","9654.0"
"","","","","","","","","","",""
"　かつらぎ町","8292.0","2780.0","2788.0","2496.0","163.0","1119.0","360.0","744.0","5.0","17703.0"
"　九度山町","1588.0","709.0","352.0","473.0","44.0","17.0","12.0","2.0","-","4003.0"
"　高 野 町","2338.0","658.0","1139.0","435.0","94.0","379.0","300.0","24.0","52.0","4323.0"
"","","","","","","","","","",""
"　湯 浅 町","6155.0","1805.0","1931.0","2312.0","25.0","780.0","226.0","549.0","-","13365.0"
"　広 川 町","2862.0","1121.0","808.0","875.0","6.0","175.0","49.0","114.0","-","6780.0"
"　有田川町","13165.0","5130.0","4930.0","2941.0","82.0","624.0","330.0","266.0","-","26014.0"
"","","","","","","","","","",""
"　美 浜 町","2257.0","473.0","900.0","873.0","4.0","54.0","43.0","10.0","-","6599.0"
"　日 高 町","2004.0","796.0","615.0","577.0","8.0","41.0","38.0","2.0","-","5737.0"
"　由 良 町","2628.0","725.0","1027.0","842.0","13.0","44.0","34.0","5.0","-","5957.0"
"　印 南 町","3896.0","1803.0","1133.0","928.0","8.0","49.0","39.0","4.0","-","7824.0"
"　みなべ町","7711.0","3382.0","2389.0","1891.0","20.0","648.0","283.0","363.0","-","13945.0"
"　日高川町","4545.0","1478.0","1646.0","1331.0","17.0","241.0","191.0","33.0","10.0","9741.0"
"","","","","","","","","","",""
"　白 浜 町","10613.0","1705.0","5386.0","3409.0","64.0","185.0","171.0","2.0","3.0","22649.0"
"　上富田町","5563.0","1011.0","2071.0","2382.0","10.0","792.0","324.0","459.0","-","13887.0"
"　すさみ町","1754.0","405.0","1030.0","308.0","3.0","31.0","23.0","8.0","-","4463.0"
"","","","","","","","","","",""
"　那智勝浦町","6680.0","1253.0","3783.0","1414.0","175.0","113.0","103.0","1.0","1.0","16017.0"
"　太 地 町","946.0","165.0","580.0","186.0","11.0","14.0","14.0","-","-","2723.0"
"　古座川町","1073.0","214.0","493.0","349.0","2.0","29.0","21.0","5.0","-","3015.0"
"　北 山 村","186.0","25.0","109.0","12.0","40.0","2.0","2.0","-","-","510.0"
"　串 本 町","6863.0","1306.0","4596.0","840.0","62.0","552.0","405.0","136.0","1.0","18161.0"
